                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.0168,                 1.9165,                 1.1475,                0.76886,                0.32334,                0.36676,                0.24796,                 1.1933,                 1.6212,                 1.1949,             0.00019579,             0.00019579,             0.00019579
                      2,                0.94924,                 1.2183,                 1.1293,                0.74229,                0.35176,                0.37747,                0.25673,                 1.1767,                 1.5826,                 1.2073,             0.00036593,             0.00036593,             0.00036593
                      3,                0.92518,                 1.0839,                  1.117,                 0.7453,                0.37711,                0.41205,                 0.2781,                 1.1672,                 1.3799,                 1.2063,              0.0005102,              0.0005102,              0.0005102
                      4,                0.88417,                0.94597,                 1.0916,                 0.8039,                0.37078,                0.42639,                0.29361,                 1.1375,                 1.2598,                 1.1753,             0.00047158,             0.00047158,             0.00047158
                      5,                0.82913,                0.83968,                 1.0635,                0.72822,                0.39294,                0.44961,                0.31972,                 1.1028,                 1.1984,                 1.1678,             0.00043277,             0.00043277,             0.00043277
                      6,                0.74901,                0.67764,                 1.0171,                0.47077,                0.44073,                0.45344,                 0.3223,                 1.0851,                 1.1686,                 1.1576,             0.00039396,             0.00039396,             0.00039396
                      7,                0.71204,                0.61736,                0.99361,                0.53365,                0.44299,                0.46644,                0.33305,                 1.0843,                 1.1984,                  1.148,             0.00035515,             0.00035515,             0.00035515
                      8,                0.68289,                0.57904,                0.98263,                0.55301,                0.45661,                0.48663,                0.34693,                 1.0679,                 1.0945,                 1.1361,             0.00031634,             0.00031634,             0.00031634
                      9,                0.65481,                  0.536,                0.96608,                0.49937,                0.48128,                0.49682,                0.36136,                 1.0499,                  1.045,                 1.1428,             0.00027754,             0.00027754,             0.00027754
                     10,                0.63367,                0.50798,                0.96099,                0.57521,                0.45382,                0.50621,                 0.3731,                 1.0177,                 1.0386,                 1.1236,             0.00023873,             0.00023873,             0.00023873
                     11,                0.60683,                0.48095,                0.94607,                0.54669,                0.47859,                0.51308,                0.37491,                  1.018,                 1.0222,                 1.1181,             0.00019992,             0.00019992,             0.00019992
                     12,                0.58813,                0.45517,                0.93582,                0.57074,                0.48401,                0.52658,                0.39002,                0.99336,                 1.0208,                 1.1012,             0.00016111,             0.00016111,             0.00016111
                     13,                0.56136,                0.42831,                 0.9226,                0.58524,                0.51627,                0.53813,                0.39939,                0.96664,                0.95409,                 1.0794,              0.0001223,              0.0001223,              0.0001223
                     14,                0.54204,                0.40811,                0.91525,                0.58064,                0.48516,                0.54083,                0.40283,                0.96194,                0.94915,                 1.0833,             8.3496e-05,             8.3496e-05,             8.3496e-05
                     15,                0.52492,                0.38868,                0.90898,                0.58006,                 0.4917,                0.53681,                0.40093,                0.97065,                0.96053,                 1.0814,             4.4688e-05,             4.4688e-05,             4.4688e-05
